Name,Code
3M India Ltd,CAAqKAgKIiJDQkFTRXdvS0wyMHZNRGx0ZW5JMmNoSUZaVzR0UjBJb0FBUAE
Aarti Industries Ltd,CAAqKAgKIiJDQkFTRXdvS0wyMHZNR1JuYm14dWNoSUZaVzR0UjBJb0FBUAE
ABB India Ltd,CAAqKggKIiRDQkFTRlFvTUwyY3ZNVEZuZWpGNmRqbHVFZ1ZsYmkxSFFpZ0FQAQ
Abbott India Ltd,CAAqKAgKIiJDQkFTRXdvS0wyMHZNRGx1TldZMlloSUZaVzR0UjBJb0FBUAE
ACC Ltd,CAAqJggKIiBDQkFTRWdvSkwyMHZNRGM1TTIxbUVnVmxiaTFIUWlnQVAB
Adani Enterprises Ltd,CAAqJggKIiBDQkFTRWdvSkwyMHZNR1EwYTNsa0VnVmxiaTFIUWlnQVAB
Adani Green Energy Ltd,CAAqLAgKIiZDQkFTRmdvTkwyY3ZNVEZtTm1ONWR6aHFNeElGWlc0dFIwSW9BQVAB
Adani Ports And Special Economic Zone,CAAqKggKIiRDQkFTRlFvTUwyY3ZNVEYyYWpBMWJHNXdFZ1ZsYmkxSFFpZ0FQAQ
Adani Power Ltd,CAAqKAgKIiJDQkFTRXdvS0wyMHZNR2M1ZW01NGF4SUZaVzR0UjBJb0FBUAE
Adani Total Gas Ltd,CAAqLAgKIiZDQkFTRmdvTkwyY3ZNVEZqTnpObmVXdDNjeElGWlc0dFIwSW9BQVAB
Adani Transmission Ltd,CAAqLAgKIiZDQkFTRmdvTkwyY3ZNVEZpWXpack9XYzRaQklGWlc0dFIwSW9BQVAB
Aditya Birla Capital Ltd,CAAqLAgKIiZDQkFTRmdvTkwyY3ZNVEZrZVd4ek1EQTNaaElGWlc0dFIwSW9BQVAB
Aditya Birla Fashion And Retail Ltd,CAAqKAgKIiJDQkFTRXdvS0wyMHZNR0p0WnpOb1p4SUZaVzR0UjBJb0FBUAE
AIAEngineering Ltd,CAAqKAgKIiJDQkFTRXdvS0wyMHZNR053Tm1Kb05oSUZaVzR0UjBJb0FBUAE
Ajanta Pharma Ltd,CAAqKAgKIiJDQkFTRXdvS0wyMHZNR2RtWnpkdFh4SUZaVzR0UjBJb0FBUAE
Alembic Pharmaceuticals Ltd,CAAqLAgKIiZDQkFTRmdvTkwyY3ZNVEZuTmpoNWRqWTNZaElGWlc0dFIwSW9BQVAB
Alkem Laboratories Ltd,CAAqLAgKIiZDQkFTRmdvTkwyY3ZNVEZqYkdnd2FETjRNQklGWlc0dFIwSW9BQVAB
Amara Raja Batteries Ltd,CAAqKAgKIiJDQkFTRXdvS0wyMHZNR295WWprMWVSSUZaVzR0UjBJb0FBUAE
Ambuja Cements Ltd,CAAqKAgKIiJDQkFTRXdvS0wyMHZNREp5YkhsaWF4SUZaVzR0UjBJb0FBUAE
Apollo Hospitals Enterprise Ltd,CAAqJggKIiBDQkFTRWdvSkwyMHZNRGcyTW0xeUVnVmxiaTFIUWlnQVAB
Ashok Leyland Ltd,CAAqJggKIiBDQkFTRWdvSkwyMHZNRE4zWjJRd0VnVmxiaTFIUWlnQVAB
Asian Paints Ltd,CAAqLAgKIiZDQkFTRmdvTkwyY3ZNVEZqYzNFd2JUZ3diaElGWlc0dFIwSW9BQVAB
Astral Ltd,CAAqKAgKIiJDQkFTRXdvS0wyMHZNR054Ykd0dGVSSUZaVzR0UjBJb0FBUAE
Atul Ltd,CAAqKAgKIiJDQkFTRXdvS0wyMHZNRFkwY0RBNGF4SUZaVzR0UjBJb0FBUAE
AU Small Finance Bank Ltd,CAAqLAgKIiZDQkFTRmdvTkwyY3ZNVEZuWkdkZmNYbzRaeElGWlc0dFIwSW9BQVAB
Aurobindo Pharma Ltd,CAAqKAgKIiJDQkFTRXdvS0wyMHZNR2cyTlRoc2JSSUZaVzR0UjBJb0FBUAE
Avenue Supermarts Ltd,CAAqKAgKIiJDQkFTRXdvS0wyMHZNR2h5TjJkd2F4SUZaVzR0UjBJb0FBUAE
Axis Bank Ltd,CAAqKAgKIiJDQkFTRXdvS0wyMHZNREozWTJoM2VCSUZaVzR0UjBJb0FBUAE
Bajaj Auto Ltd,CAAqJggKIiBDQkFTRWdvSkwyMHZNREozTlRWeEVnVmxiaTFIUWlnQVAB
Bajaj Finserv Ltd,CAAqKQgKIiNDQkFTRkFvTEwyMHZNREV5TjNnMU0yZ1NCV1Z1TFVkQ0tBQVAB
Bajaj Holdings And Investment Ltd,CAAqLAgKIiZDQkFTRmdvTkwyY3ZNVEZpZVdOZmRqQjRjUklGWlc0dFIwSW9BQVAB
Balkrishna Industries Ltd,CAAqKAgKIiJDQkFTRXdvS0wyMHZNR053TlRKbWVCSUZaVzR0UjBJb0FBUAE
Bandhan Bank Ltd,CAAqKQgKIiNDQkFTRkFvTEwyMHZNREV5ZWpJeGJYSVNCV1Z1TFVkQ0tBQVAB
Bank Of Baroda,CAAqJggKIiBDQkFTRWdvSkwyMHZNREk0YUhObkVnVmxiaTFIUWlnQVAB
Bank Of India,CAAqJggKIiBDQkFTRWdvSkwyMHZNRE15T1RNNUVnVmxiaTFIUWlnQVAB
Bata India Ltimited,CAAqKAgKIiJDQkFTRXdvS0wyMHZNR053Tm5Kc1l4SUZaVzR0UjBJb0FBUAE
Bayer Cropscience Ltd India,CAAqJggKIiBDQkFTRWdvSkwyMHZNREZ6Ym5JeEVnVmxiaTFIUWlnQVAB
Berger Paints India Ltd,CAAqLAgKIiZDQkFTRmdvTkwyY3ZNVEZqTm5OeGVubHFNUklGWlc0dFIwSW9BQVAB
Bharat Electronics Ltd,CAAqKAgKIiJDQkFTRXdvS0wyMHZNREkzZVc1Nk1CSUZaVzR0UjBJb0FBUAE
Bharat Forge Ltd,CAAqKAgKIiJDQkFTRXdvS0wyMHZNREp4TlRsek9SSUZaVzR0UjBJb0FBUAE
Bharat Heavy Electricals Ltd,CAAqJggKIiBDQkFTRWdvSkwyMHZNRE5zYW5CNkVnVmxiaTFIUWlnQVAB
Bharat Petroleum Corp Ltd,CAAqKAgKIiJDQkFTRXdvS0wyMHZNREkyZERRek1oSUZaVzR0UjBJb0FBUAE
Bharti Airtel Ltd,CAAqJggKIiBDQkFTRWdvSkwyMHZNR3R4YURWekVnVmxiaTFIUWlnQVAB
Biocon Ltd,CAAqJggKIiBDQkFTRWdvSkwyMHZNRFkwYzNKaUVnVmxiaTFIUWlnQVAB
Bosch Ltd,CAAqJggKIiBDQkFTRWdvSkwyMHZNREZvYm10bUVnVmxiaTFIUWlnQVAB
Britannia Industries Ltd,CAAqJggKIiBDQkFTRWdvSkwyMHZNRGh0YzIwMEVnVmxiaTFIUWlnQVAB
Cadila Healthcare Ltd,CAAqJggKIiBDQkFTRWdvSkwyMHZNR1oyWjNkbkVnVmxiaTFIUWlnQVAB
Canara Bank,CAAqJggKIiBDQkFTRWdvSkwyMHZNRGcwTWpkb0VnVmxiaTFIUWlnQVAB
Castrol India Ltd,CAAqKAgKIiJDQkFTRXdvS0wyMHZNR2MxTjNNeGVSSUZaVzR0UjBJb0FBUAE
Cholamandalam Investment & Finance Co Ltd,CAAqLAgKIiZDQkFTRmdvTkwyY3ZNVEZuYm5Kc2VqVXpNUklGWlc0dFIwSW9BQVAB
Cipla Ltd India,CAAqJggKIiBDQkFTRWdvSkwyMHZNREowTjJjNEVnVmxiaTFIUWlnQVAB
City Union Bank Ltd,CAAqKAgKIiJDQkFTRXdvS0wyMHZNREo2T0hReWRCSUZaVzR0UjBJb0FBUAE
Coal India Ltd,CAAqKAgKIiJDQkFTRXdvS0wyMHZNREkxZERCdU1CSUZaVzR0UjBJb0FBUAE
Colgate palmolive India Ltd,CAAqJggKIiBDQkFTRWdvSkwyMHZNREZxTm10ZkVnVmxiaTFIUWlnQVAB
Container Corp Of India,CAAqKAgKIiJDQkFTRXdvS0wyMHZNRFI1T0RsNU5SSUZaVzR0UjBJb0FBUAE
Coromandel International Ltd,CAAqKAgKIiJDQkFTRXdvS0wyMHZNRGd3T0cxZmF4SUZaVzR0UjBJb0FBUAE
Crompton Greaves Consumer Electricals Ltd,CAAqLAgKIiZDQkFTRmdvTkwyY3ZNVEZpZDNGaVptdDBOaElGWlc0dFIwSW9BQVAB
Cummins India Ltd,CAAqKAgKIiJDQkFTRXdvS0wyMHZNRGx0Tm5scWJoSUZaVzR0UjBJb0FBUAE
Dabur India Ltd,CAAqJggKIiBDQkFTRWdvSkwyMHZNRFkwYldJeEVnVmxiaTFIUWlnQVAB
Dalmia Bharat Ltd,CAAqLAgKIiZDQkFTRmdvTkwyY3ZNVEZtTURFemVHTmZPUklGWlc0dFIwSW9BQVAB
Divis Laboratories Ltd,CAAqLAgKIiZDQkFTRmdvTkwyY3ZNVEZzYWpBeFltSnVZeElGWlc0dFIwSW9BQVAB
DLF Ltd,CAAqJggKIiBDQkFTRWdvSkwyMHZNR1EyWm5ac0VnVmxiaTFIUWlnQVAB
Dr Reddys Laboratories Ltd,CAAqJggKIiBDQkFTRWdvSkwyMHZNRFZvWm1wbkVnVmxiaTFIUWlnQVAB
Dr Lal Pathlabs Ltd,CAAqLAgKIiZDQkFTRmdvTkwyY3ZNVEZqYkd4cWMyMWtiQklGWlc0dFIwSW9BQVAB
Eicher Motors Ltd,CAAqJggKIiBDQkFTRWdvSkwyMHZNRFkwYzNseUVnVmxiaTFIUWlnQVAB
Emami Ltd,CAAqKAgKIiJDQkFTRXdvS0wyMHZNRGwyT1Rkb054SUZaVzR0UjBJb0FBUAE
Endurance Technologies Ltd,CAAqLAgKIiZDQkFTRmdvTkwyY3ZNVEZqTlRsZmFtUjNkQklGWlc0dFIwSW9BQVAB
Exide Industries Ltd,CAAqKAgKIiJDQkFTRXdvS0wyMHZNREp4WDJ0cWNSSUZaVzR0UjBJb0FBUAE
Federal Bank Ltd,CAAqJggKIiBDQkFTRWdvSkwyMHZNR0ozYzNwaUVnVmxiaTFIUWlnQVAB
Gail India Ltd,nan
General Insurance Corporation Of India,CAAqKAgKIiJDQkFTRXdvS0wyMHZNRFZtTkdnM2VSSUZaVzR0UjBJb0FBUAE
Gillette India Ltd,CAAqKAgKIiJDQkFTRXdvS0wyMHZNRFJtT0RWMGFCSUZaVzR0UjBJb0FBUAE
Glaxosmithkline Pharmaceuticals Ltd,CAAqKAgKIiJDQkFTRXdvS0wyMHZNR1JuYm01aU9SSUZaVzR0UjBJb0FBUAE
Glenmark Pharmaceuticals Ltd,CAAqKAgKIiJDQkFTRXdvS0wyMHZNR1JuY0dZNWNCSUZaVzR0UjBJb0FBUAE
GMR Infrastructure Ltd,CAAqKAgKIiJDQkFTRXdvS0wyMHZNRE54Wm5CM2F4SUZaVzR0UjBJb0FBUAE
Godrej Consumer Products Ltd,CAAqKAgKIiJDQkFTRXdvS0wyMHZNR053Tld4c2VCSUZaVzR0UjBJb0FBUAE
Godrej Industries Ltd,nan
Godrej Properties Ltd,CAAqKAgKIiJDQkFTRXdvS0wyMHZNR295T0RsclpoSUZaVzR0UjBJb0FBUAE
Grasim Industries Ltd,CAAqKAgKIiJDQkFTRXdvS0wyMHZNREp4YW5GdVh4SUZaVzR0UjBJb0FBUAE
Gujarat Gas Ltd,CAAqKAgKIiJDQkFTRXdvS0wyMHZNR2czY1hwNGVoSUZaVzR0UjBJb0FBUAE
Gujarat State Petronet Ltd,CAAqKAgKIiJDQkFTRXdvS0wyMHZNR054WkhScU54SUZaVzR0UjBJb0FBUAE
Havells India Ltd,CAAqKAgKIiJDQkFTRXdvS0wyMHZNRGxuTm0xemNSSUZaVzR0UjBJb0FBUAE
HCL Technologies Ltd,CAAqJggKIiBDQkFTRWdvSkwyMHZNRFk1T0dkMkVnVmxiaTFIUWlnQVAB
HDFC Asset Management Company Ltd,CAAqLAgKIiZDQkFTRmdvTkwyY3ZNVEZtTjNCemFEZHdjaElGWlc0dFIwSW9BQVAB
HDFC Bank Ltd,CAAqKAgKIiJDQkFTRXdvS0wyMHZNREkxZEhwbmF4SUZaVzR0UjBJb0FBUAE
HDFC Life Insurance Company Ltd,CAAqKAgKIiJDQkFTRXdvS0wyMHZNR3h4TlhNemFoSUZaVzR0UjBJb0FBUAE
Hero Motocorp Ltd,CAAqJggKIiBDQkFTRWdvSkwyMHZNRGR5T1hsd0VnVmxiaTFIUWlnQVAB
Hindalco Industries Ltd,CAAqJggKIiBDQkFTRWdvSkwyMHZNRFkwYzIxb0VnVmxiaTFIUWlnQVAB
Hindustan Aeronautics Ltd,CAAqJggKIiBDQkFTRWdvSkwyMHZNREZyTVdwaUVnVmxiaTFIUWlnQVAB
Hindustan Petroleum Corp Ltd,CAAqKAgKIiJDQkFTRXdvS0wyMHZNREkyZERSZlh4SUZaVzR0UjBJb0FBUAE
Hindustan Unilever Ltd,CAAqJggKIiBDQkFTRWdvSkwyMHZNREkwTW1aakVnVmxiaTFIUWlnQVAB
Hindustan Zinc Ltd,CAAqKAgKIiJDQkFTRXdvS0wyMHZNRFZqTTIwMWVoSUZaVzR0UjBJb0FBUAE
Honeywell Automation India Ltd,CAAqKAgKIiJDQkFTRXdvS0wyMHZNRGx1TldobVpCSUZaVzR0UjBJb0FBUAE
Housing Development Finance Corp,CAAqJggKIiBDQkFTRWdvSkwyMHZNRFJuT0hweUVnVmxiaTFIUWlnQVAB
ICICI Bank Ltd,CAAqJggKIiBDQkFTRWdvSkwyMHZNRE5vTm5FMkVnVmxiaTFIUWlnQVAB
ICICI Lombard General Insurance Company Ltd,CAAqKAgKIiJDQkFTRXdvS0wyMHZNREp3YWpReVpoSUZaVzR0UjBJb0FBUAE
ICICI Prudential Life Insurance Company Ltd,CAAqKQgKIiNDQkFTRkFvTEwyMHZNREV6WmpNM01ISVNCV1Z1TFVkQ0tBQVAB
IDBI Bank Ltd,CAAqJggKIiBDQkFTRWdvSkwyMHZNRGt3ZDJoMkVnVmxiaTFIUWlnQVAB
IDFC First Bank Ltd,CAAqLAgKIiZDQkFTRmdvTkwyY3ZNVEZqTm5wNGVUSnFiQklGWlc0dFIwSW9BQVAB
